32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
32,2,0,2
64,3,0,3
64,7,0,7
64,3,0,3
64,3,0,3
64,3,0,3
64,3,0,3
64,3,0,3
64,3,0,3
64,3,0,3
64,3,0,3
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
128,6,0,6
256,11,1,12
256,12,0,12
256,11,1,12
256,11,1,12
256,11,0,11
256,11,0,11
256,12,0,12
256,11,0,11
256,11,1,12
256,12,0,12
512,23,1,24
512,23,1,24
512,23,1,24
512,23,2,25
512,23,1,24
512,23,1,24
512,23,1,24
512,23,2,25
512,23,1,24
512,25,2,27
1024,46,4,50
1024,45,4,49
1024,45,3,48
1024,45,3,48
1024,45,3,48
1024,45,3,48
1024,45,3,48
1024,45,3,48
1024,45,3,48
1024,55,4,59
2048,90,7,97
2048,91,7,98
2048,90,7,97
2048,90,7,97
2048,91,7,98
2048,90,7,97
2048,91,7,98
2048,90,7,97
2048,90,8,98
2048,90,8,98
4096,180,14,194
4096,180,15,195
4096,181,15,196
4096,189,14,203
4096,181,15,196
4096,180,14,194
4096,181,15,196
4096,179,15,194
4096,189,14,203
4096,181,15,196
8192,361,29,390
8192,437,29,466
8192,361,30,391
8192,376,29,405
8192,361,30,391
8192,361,29,390
8192,359,29,388
8192,361,30,391
8192,361,29,390
8192,370,30,400
16384,722,62,784
16384,875,59,934
16384,719,59,778
16384,734,59,793
16384,721,59,780
16384,738,58,796
16384,722,59,781
16384,727,65,792
16384,721,60,781
16384,718,60,778
32768,1473,118,1591
32768,1444,117,1561
32768,1451,119,1570
32768,1448,117,1565
32768,1508,120,1628
32768,1445,121,1566
32768,1535,120,1655
32768,1456,121,1577
32768,1698,120,1818
32768,1443,117,1560
65536,2938,239,3177
65536,2921,245,3166
65536,3207,583,3790
65536,2998,265,3263
65536,2965,250,3215
65536,2972,332,3304
65536,3275,272,3547
65536,2899,239,3138
65536,3069,253,3322
65536,2917,244,3161
131072,6254,496,6750
131072,6028,492,6520
131072,5842,498,6340
131072,7868,624,8492
131072,5963,507,6470
131072,5852,487,6339
131072,6664,703,7367
131072,6316,613,6929
131072,5988,625,6613
131072,6378,756,7134
262144,11982,1349,13331
262144,12265,1577,13842
262144,13908,1309,15217
262144,12060,1076,13136
262144,11815,968,12783
262144,12611,1119,13730
262144,13005,1067,14072
262144,13766,998,14764
262144,11435,995,12430
262144,11721,1003,12724
524288,24393,1992,26385
524288,24411,2459,26870
524288,23736,2019,25755
524288,23115,1969,25084
524288,27398,2199,29597
524288,24799,2029,26828
524288,26364,1994,28358
524288,25445,1982,27427
524288,23385,1980,25365
524288,23368,1973,25341
